connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,bid_depth_quote_50bps,ask_depth_quote_50bps,sym_depth_quote_50bps,bid_depth_quote_100bps,ask_depth_quote_100bps,sym_depth_quote_100bps,bid_depth_quote_1xspread,ask_depth_quote_1xspread,sym_depth_quote_1xspread,bid_depth_quote_2xspread,ask_depth_quote_2xspread,sym_depth_quote_2xspread,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
mexc,TRUMPUSDT,TRUMP-USDT,TRUMP,USDT,True,1,True,3.273,3762100.974,1155089.98,3.273,289.42,3.274,80.59,3.054834275240231,536.70682,0.001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9791926758218893,0.9616985845129059,0.9454621149042465,96.80730408111148,3.273,3.274,3.2735000000000003,0.0009999999999998899,1183.45134,536.70682,154,200,16590.2523,17286.85807,16590.2523,38089.58671,27060.279909999997,27060.279909999997,175899.00045,136464.28545,136464.28545,291589.88546,259986.03446999998,259986.03446999998,386111.47131,337320.24453,337320.24453,1183.45134,536.70682,536.70682,16590.2523,17286.85807,16590.2523,288,1774239300.0,1774325400.0,288,0,1.0,0.0,33.57448011765919,32.19257864466311,0.04358812381554,0.034009463395647095,5384.538225,500,6.0325759099135325,46964.40966,566.6327326764527,6.714797258377075,15.296565000000001,0.492,10.99060606651695,0.62,0.83,0.64,0.69,0.5545,1.0,1.0,0.8717624763108001,1.0,0.9572541587702666,73.46654158770266,[],,True
mexc,HBARUSDT,HBAR-USDT,HBAR,USDT,True,1,True,0.09301,6180935.31089,66773457.07,0.09294,134.4,0.09295,11847.0,1.075789360442808,355.53375,1e-05,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9858510195588848,0.9837635303913406,0.5745212323064113,90.3063189816504,0.09295,0.09296,0.09295500000000001,9.999999999996123e-06,355.53375,473.35232,200,200,4398.528394,10316.36307,4398.528394,11696.193059000001,17816.34676,11696.193059000001,86505.6851976,125687.4556344,86505.6851976,96694.5417095,137364.7279026,96694.5417095,137635.68273200002,181945.854016,137635.68273200002,355.53375,473.35232,355.53375,883.358598,991.957574,883.358598,288,1774239300.0,1774325400.0,288,0,1.0,0.0,30.304716099995023,29.213016988018428,0.0678466076696166,0.00592095617046328,8889.8772238,500,12.20008133387556,61495.41088170001,1500.4980288336724,30.099615573883057,38.41946215,0.504,28.1697488507613,0.72,0.63,0.81,0.61,0.5359999999999999,1.0,1.0,1.0,0.7276750383079567,0.9092250127693188,73.24425012769319,[],,True
mexc,WLDUSDT,WLD-USDT,WLD,USDT,True,1,True,0.3221,5828356.2126,18322580.58,0.3221,5336.08,0.3222,3311.28,3.1022180859328214,1177.27584,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9854348730753225,0.9608659450457951,0.9829308909242298,97.87918446377222,0.3223,0.3224,0.32235,0.0001000000000000445,1218.5518399999999,1177.27584,195,200,4611.266288,3500.2562399999997,3500.2562399999997,12271.880102,7801.907872,7801.907872,122544.58483499999,42616.315658,42616.315658,239015.347676,109914.370219,109914.370219,285157.742995,137943.644528,137943.644528,1218.5518399999999,1177.27584,1177.27584,4611.266288,3500.2562399999997,3500.2562399999997,288,1774239300.0,1774325400.0,288,0,1.0,0.0,43.023600669573916,35.94505416387395,0.05511811023622058,-0.04848916990603163,13029.352277499998,500,10.869565217391305,75348.722958,1638.0157164782609,27.957449436187744,24.218543000000004,0.486,13.868657675830981,0.71,0.65,0.62,0.8,0.53,1.0,1.0,1.0,1.0,1.0,72.72,[],,True
mexc,TONUSDT,TON-USDT,TON,USDT,True,1,True,1.332,2908210.616,2239139.31,1.332,11314.73,1.333,9448.44,7.504690431518874,12594.77052,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.976695796920516,0.8900915903413822,0.9966694421315571,95.90394743179407,1.332,1.333,1.3325,0.0009999999999998899,15262.362360000001,12594.77052,200,200,15262.362360000001,12594.77052,12594.77052,15262.362360000001,12594.77052,12594.77052,85122.23715,113010.91881,85122.23715,388524.21397000004,205045.13616,205045.13616,551088.35698,236148.08199,236148.08199,15262.362360000001,12594.77052,12594.77052,36047.77745,44902.59636,36047.77745,288,1774239300.0,1774325400.0,288,0,1.0,0.0,25.597420836251615,18.657017614973324,0.16556291390728603,-0.04194261453622215,6372.3016,500,8.31255195344971,145437.33822,2417.910859850374,23.076282262802124,55.792320000000004,0.45,3.410856326430903,0.59,0.82,0.25,0.94,0.52,1.0,1.0,1.0,1.0,1.0,68.32,[],,True
mexc,DOTUSDT,DOT-USDT,DOT,USDT,True,1,True,1.422,6242973.661,4328620.68,1.419,610.82,1.42,7808.4,7.054673721339611,2131.52342,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9866833125260092,0.8963363863447127,0.980849292256453,96.29297769267738,1.417,1.418,1.4175,0.0009999999999998899,12534.980379999999,2131.52342,187,200,12534.980379999999,2131.52342,2131.52342,12534.980379999999,2131.52342,2131.52342,62876.9405,82455.05619,62876.9405,120768.46165,159131.41662,120768.46165,243637.60865,267217.72507,243637.60865,12534.980379999999,2131.52342,2131.52342,40864.34014,12173.78642,12173.78642,288,1774239300.0,1774325400.0,288,0,1.0,0.0,39.585421753847804,35.25587251051324,0.01932367149758451,-0.061249777738675494,12070.18377,500,6.377551020408163,148926.08751,1899.567442729592,9.76388430595398,50.71959,0.528,5.611233533608544,0.73,0.68,0.31000000000000005,0.85,0.5225,1.0,1.0,0.38647342995169015,1.0,0.7954911433172299,67.1049114331723,[],,True
mexc,WXTUSDT,WXT-USDT,WXT,USDT,True,1,True,0.021112,2021878.513877,96443997.22,0.021104,81948.0,0.021108,80169.0,1.4210937685036031,1620.495712,1e-06,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9675405742821473,0.974188176519567,0.9870940882597835,97.31131776370295,0.021109,0.021112,0.021110499999999997,2.999999999999531e-06,1620.495712,1774.189144,115,200,6163.789802,8986.133294000001,6163.789802,9531.027842,15791.777955000001,9531.027842,19784.836558000003,29699.880447,19784.836558000003,34290.531732,36982.765545,34290.531732,49169.09344712,56401.956987,49169.09344712,1620.495712,2583.978259,1620.495712,1620.495712,4954.016938,1620.495712,288,1774239300.0,1774325400.0,288,0,1.0,0.0,23.083296532425184,26.320907281010925,0.09495865564150441,0.030037273393340627,3727.6803550000004,500,8.769365682548962,38227.511111,670.4620481321251,11.762587308883667,73.345606,0.482,16.243331048261265,0.45,0.42,0.78,0.84,0.63,1.0,1.0,1.0,1.0,1.0,65.96,[],,True
mexc,ZROUSDT,ZRO-USDT,ZRO,USDT,True,1,True,2.132,2381017.168,1129299.96,2.131,167.38,2.132,341.17,4.687133817669979,530.27766,0.001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9712858926342073,0.9333888426311407,0.9567027477102414,95.88950011486475,2.133,2.134,2.1334999999999997,0.0009999999999998899,636.55119,530.27766,167,200,636.55119,530.27766,530.27766,4790.28415,1349.15691,1349.15691,21328.00364,12485.368639999999,12485.368639999999,125338.17211999999,48431.91865,48431.91865,286979.31451,152264.56941999999,152264.56941999999,636.55119,530.27766,530.27766,4790.28415,1349.15691,1349.15691,288,1774239300.0,1774325400.0,288,0,1.0,0.0,64.65524150243114,54.30642134599972,0.07767944936086514,-0.03288674653503864,4537.80313,500,23.273855702094647,50489.20712,2350.1570420480994,2.8682796955108643,33.187664999999996,0.488,13.7941957745452,0.49,0.46,0.47,0.68,0.879,1.0,1.0,1.0,1.0,1.0,64.46799999999999,[],,True
mexc,ASTERUSDT,ASTER-USDT,ASTER,USDT,True,1,True,0.6588,2814065.3496,4229920.71,0.6581,166.59,0.6583,110.93,4.556846662109319,408.4017,0.0001,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9758635039533916,0.9625312239800167,0.8155703580349709,94.04718047763637,0.6582,0.6585,0.65835,0.00029999999999996696,1629.650544,408.4017,200,200,4295.705778,584.11618,584.11618,42390.851345,3913.374059,3913.374059,89957.166515,53698.301123000005,53698.301123000005,138347.489146,137386.029921,137386.029921,307007.569864,263014.47374600003,263014.47374600003,4295.705778,584.11618,584.11618,39093.209315,3913.374059,3913.374059,288,1774239300.0,1774325400.0,288,0,1.0,0.0,24.281654682859433,22.89021693137143,0.04659793814432996,-0.04415455155856884,5087.1405035,500,4.279600570613409,83237.193847,712.4438845677604,42.6339156627655,27.145301000000003,0.486,5.328609120154089,0.57,0.71,0.48,0.65,0.1995,1.0,1.0,0.9319587628865992,1.0,0.9773195876288664,62.92719587628866,[],,True
mexc,SHIBUSDT,SHIB-USDT,SHIB,USDT,True,1,True,6.076e-06,4928952.016805382,817992075062.0,6.075e-06,131546493.0,6.079e-06,65773246.0,8.227067050596382,1090.964143125,1e-09,10000.0,10000.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.982521847690387,0.9038301415487094,0.9608659450457951,95.85177406260492,6.075e-06,6.08e-06,6.077500000000001e-06,4.999999999999952e-09,1090.964143125,3873.5889030400003,200,200,1090.964143125,3873.5889030400003,1090.964143125,2179.682383581,4964.939196373,2179.682383581,61555.018393013,34445.008772216,34445.008772216,206239.44701535598,78432.52787806,78432.52787806,335636.03100917,156996.886507325,156996.886507325,1090.964143125,4564.873431736,1090.964143125,2887.3140505839997,7058.466567812,2887.3140505839997,288,1774239300.0,1774325400.0,288,0,1.0,0.0,36.53479579784453,33.11109150155786,0.08079930495221549,0.05666295044425536,11378.340907282,500,5.749329244921426,116672.368833958,1341.5757244226677,13.845469951629639,29.361266852,0.504,4.440804429228046,0.66,0.6,0.18000000000000005,0.79,0.41350000000000003,1.0,1.0,1.0,1.0,1.0,62.00199999999999,[],,True
mexc,PUMPUSDT,PUMP-USDT,PUMP,USDT,True,1,True,0.001791,2474556.030201,1367670667.43,0.00179,1956315.2,0.001791,19783387.11,5.585032113935396,1280.27254761,1e-06,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9729504785684561,0.9196502914238135,0.9933388842631141,96.37031129212271,0.00179,0.001791,0.0017905,1.0000000000001327e-06,3508.9279783999996,1280.27254761,101,200,3508.9279783999996,1280.27254761,1280.27254761,9035.74586036,8989.68551145,8989.68551145,28206.781210009998,48355.7907572,28206.781210009998,58142.70688995,79441.41661554,58142.70688995,95185.93223855,111267.45475999,95185.93223855,3508.9279783999996,1280.27254761,1280.27254761,9035.74586036,8989.68551145,8989.68551145,288,1774239300.0,1774325400.0,288,0,1.0,0.0,43.91727711327951,43.26154389327579,0.00082304526748982,-0.011466561052829179,3980.598647365,500,6.478082487583675,87843.71725632,1138.117692804837,8.894120931625366,18.602364299999998,0.508,7.863388467131653,0.53,0.5,0.39,0.81,0.5495,1.0,1.0,0.016460905349796398,1.0,0.6721536351165988,58.75553635116599,[],,True
mexc,SAHARAUSDT,SAHARA-USDT,SAHARA,USDT,True,1,True,0.02607,2391661.48199,89950296.98,0.02606,27032.0,0.02608,21950.4,3.838034926117671,362.4076,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9721181856013317,0.8850957535387177,0.9729392173189009,95.0526783929192,0.02605,0.02606,0.026055000000000002,9.999999999999593e-06,362.4076,727.5535040000001,84,196,362.4076,727.5535040000001,362.4076,1841.4911599,2067.937856,1841.4911599,4768.8850418,2991.5607178,2991.5607178,5625.2039192,3848.0156591,3848.0156591,9717.0369618,4679.750701,4679.750701,362.4076,727.5535040000001,362.4076,615.578896,1495.471424,615.578896,288,1774239300.0,1774325400.0,288,0,1.0,0.0,45.64775749413016,32.791725605333134,0.05020196191575296,-0.05129307502740442,7651.63626865,500,101.69491525423729,16293.169620800003,3313.8650076203394,13.976935625076294,14.8467214,0.488,11.8935232150961,0.51,0.09,0.55,0.62,0.8325,1.0,1.0,1.0,1.0,1.0,57.79,[],,True
mexc,ICPUSDT,ICP-USDT,ICP,USDT,True,1,True,2.393,2867858.652,1196511.28,2.393,388.86,2.394,71.35,4.177982034678646,260.29962,0.001,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9762796504369539,0.9421315570358035,0.9088259783513739,95.42518926695503,2.393,2.394,2.3935,0.001000000000000334,2373.2577499999998,260.29962,179,200,2373.2577499999998,260.29962,260.29962,9073.20191,2201.35132,2201.35132,17665.74406,13693.70774,13693.70774,20512.36155,22279.67344,20512.36155,23134.70171,31426.41773,23134.70171,2373.2577499999998,260.29962,260.29962,9073.20191,2201.35132,2201.35132,288,1774239300.0,1774325400.0,288,0,1.0,0.0,33.00003827465542,30.10093164440675,0.005033557046980067,-0.043194767672370106,5520.229695,500,7.676560900716479,105243.43199000001,1615.8152301432958,18.520670890808105,57.419405,0.512,7.898559161036137,0.58,0.31,0.53,0.57,0.5085,1.0,1.0,0.10067114093960133,1.0,0.7002237136465338,56.26423713646533,[],,True
